date,title,content
2022-10-03,"배우 박민영 교제설 터진 회사 인바이오젠 이사진, 재벌 뺨치는 고위급들","배우 박민영(오른쪽)이 재력가 강종현(왼쪽)씨와 열애설이 불거졌다. 사진은 강씨의 차에서 내리는 박민영과 강씨. /디스패치배우 박민영씨가 실소유주와 교제 중이라면서 화제가 된 회사가 있다. 회사 이름은 인바이오젠. 이름은 바이오회사처럼 보이지만 주업은 신발 제조와 판매와 키오스크 유통 사업이다. 2008년 03월 설립, 2008년 04월 유가증권시장에 상장됐으며, 이름이 여러 번 바뀌었다. 아티스에서 비티원을 거쳐 2020년 인바이오젠이 됐다. 2020년 바이오 산업 진출을 천명하면서 사명도 바꾼 것으로 보이지만 아직 구체적인 사업 계획은 내놓지 않고 있다.상장회사지만 기업 실적은 바닥이다. 지난해 매출액 105억원에 영업이익이 -79억원이다. 올 상반기도 35억원 매출에 영업이익 -13억원을 기록했다. 주가는 2020년 ‘바이오’란 이름을 달면서 급상승해 7800원까지 올랐지만 그 뒤 꾸준히 떨어져 지금은 1255원(9월30일 기준)이다. 인바이오젠 대표는 강지연(38) 버킷스튜디오 대표가 겸임하고 있다. 박민영씨와 교제설이 터졌던 강모씨 동생이다. 버킷스튜디오는 배우 이정재씨가 세운 아티스트컴퍼니 대주주이기도 하다.더 특이한 건 인바이오젠 임원 명단이다. 매출액 100억원짜리 회사에 사내 이사로 전 동아일보 논설위원 홍모(63)씨, 경찰 출신으로 서울중앙지검 직원을 지낸 구모(54)씨, 모건스탠리와 시티그룹을 거친 이모(49) 빗썸코리아 부사장이 이름을 올리고 있다.사외 이사 명단도 만만치 않았다. 이모(63) 전 대통령 직속 국가경쟁력위원회 국장, 김모(48) 전 청주지검 검사(현 S법무법인 변호사), 선우 모(76) S신경과 원장(전 연세대 의대 교수)가 선임되어 있었다.그런데 지난 3월 박민영씨 언니인 박민아씨가 새로 사외이사로 선임되면서 변화가 생겼다. 선우 원장과 김모 전 검사가 사외 이사 직을 내려놓았다. 각각 임기가 1년 8개월, 1년 7개월씩 남아 있던 상태였다. 인바이오젠은 “일신 상 이유”라고 사임 이유를 설명했다.선우 원장과 김모 전 검사 대신 사외 이사로 선임된 인물은 박민아씨, 그리고 박씨와 동문(컬럼비아대·싱가포르 국립대)인 이모(52) 싱가포르국립대 교수다. 이 교수는 사외 이사가 된 지 3개월만인 6월 “일신 상 이유”로 사임했고, 박씨는 최근 동생 박민영씨가 언론 구설에 오르자 바로 사임했다.감사는 더 이채롭다. 박기춘(66) 전 국회의원이 맡고 있다. 그는 17~19대 국회의원을 지냈고, 민주통합당(현 더불어민주당) 원내 대표까지 역임한 중견 정치인이다. 이사나 감사 명단만 따지면 “왠만한 재벌 기업 계열사 버금간다”는 말이 나오는 게 이상하지 않은 실정이다."
2022-10-07,"검찰, 빗썸 관계사 인바이오젠 등 압수수색… 대표진 횡령 혐의","서울남부지방검찰청 /뉴스1가상자산거래소 빗썸 최대주주와 경영진의 횡령 혐의를 수사 중인 검찰이 빗썸인바이오젠과 비덴트 등 빗썸 관련 회사 여러 곳을 압수수색했다. 서울남부지검 금융조사2부(부장 채희만)는 7일 인바이오젠 및 비덴트, 버킷스튜디오 등에서 회계 관련 자료 등을 확보 중이라고 밝혔다.코스닥 상장사 비덴트는 ‘빗썸홀딩스’의 지분 34.22%를 보유하고 있는 빗썸의 단일 최대 주주다. 빗썸홀딩스는 빗썸코리아 지분 73.6%를 보유하고 있는데, 빗썸을 운영하는 회사가 빗썸코리아이다. 다만 빗썸 자체는 이번 압수수색 대상에서 제외된 것으로 알려졌다.이번 압수수색에 포함한 인바이오젠과 버킷스튜디오는 배우 박민영씨와 열애설이 났던 강종현씨의 여동생 강지연씨가 대표이사로 있는 곳으로, 강지연씨는 빗썸홀딩스의 사내이사도 겸하고 있는 인물이다. 강지연씨는 주식회사 ‘이니셜’의 지분 100%를 보유하고 있기도 한데, 주식회사 ‘이니셜’은 ‘이니셜1호투자’의 최대 지분을, ‘이니셜1호투자’는 ‘버킷스튜디오’의 지분을, ‘버킷스튜디오’는 ‘인바이오젠’의 지분을 소유하는 등 연쇄 구조를 갖고 있다.이 과정에서 전환사채(CB)를 통한 수상한 자금흐름 의혹이 불거진 상태다. 버킷스튜디오의 2021년 매출액은 264억원, 영업손실은 79억원이고 비덴트의 2021년 매출액은 177억원, 영업이익은 8억원에 불과하다. 하지만 비덴트와 인바이오젠, 버킷스튜디오는 강지연씨가 취임한 2020년 8월 이후CB와 주식연계채권(BW), 전환우선주를 7813억원어치를 발행했다. 이후 전환권 행사가 가능한 날 글로벌 가상자산거래소 중 하나인 ‘FTX가 빗썸 인수를 추진 중’이라는 보도를 내보내며 주가 상승을 유도했다는 의혹을 받고 있다.빗썸은 지난달 30일 “당사는 창사 이래 김모 전 회장을 제외하고는 회장이라는 직함을 둔 적도 없고, 언론 보도에 언급된 강모 씨는 당사에 임직원 등으로 재직하거나 경영에 관여한 사실이 없다”면서 강종현씨와의 관련성을 부인했다."
2024-01-15,"前남친 강종현에 2.5억 생활비?… 박민영, 직접 입 열었다","배우 박민영./ 박민영 인스타그램배우 박민영(37)이 옛 연인이자 가상화폐 거래소 ‘빗썸’ 실소유주 의혹을 받은 강종현(41)씨에게 현금 2억5000만원을 받았다는 보도가 나오자 “지겹다”는 심경 글을 올렸다.박민영은 15일 인스타그램에 “Sickofitall(다 지긋지긋하다). 하지만 진심은 반드시 통한다는 말을 믿고 이제 나는 콩알들을 지켜줄 단단한 마음이 생겼다. 걱정 마요”라고 적었다. 이와 함께 박민영은 엄지를 치켜들고 윙크하고 있는 사진을 올렸다.앞서 이날 디스패치는 “강씨가 계열사 돈을 대여금 방식으로 인출해 박민영에게 생활비 명목으로 지급했다”며 “2억 5000만원이 박민영 개인 계좌로 입금됐다”고 보도했다.이에 대해 소속사 후크엔터테인먼트는 같은 날 입장문을 내고 “강씨가 박민영 계좌를 차명으로 사용한 사실과 관련해 박민영이 검찰 참고인 조사를 받았고 이를 통해 불법적 일에 가담하거나 불법적 이익을 얻은 사실이 없다는 점을 명백히 밝혔다”고 했다. 그러면서 “언급된 2억5000만원 역시 강씨에 의해 계좌가 사용된 것일 뿐 생활비로 사용된 것이 아니다”라고 반박했다.이어 “그동안 사실이 아닌 내용들로 오해를 많이 받았다. 그럼에도 많은 분의 질타를 받아들이고 신중하지 못하게 행동한 점에 대해 후회와 반성을 했다”며 “좋은 연기를 보여드리는 것만이 배우로서 해야 할 일이라 생각해 본업에 매진하고 있다. 더 이상 근거 없는 흠집 내기 식 의혹 제기로 명예를 훼손하는 일이 반복되지 않기를 바란다”고 했다.가상화폐거래소 빗썸의 실소유주로 알려진 사업가 강종현씨가 지난해 2월 1일 오전 서울 양천구 서울남부지방법원에서 열린 특정경제범죄가중처벌법상 횡령·배임, 자본시장법상 사기적 부정거래 혐의 관련 구속 전 피의자 심문(영장실질심사)에 출석하고 있다./뉴스1강씨는 빗썸의 실소유주로 관계사인 인바이오젠과 버킷스튜디오를 통해 빗썸을 실질 지배했다는 의혹을 받는 인물이다. 2020년부터 2022년 9월까지 친동생 강지연 대표와 공모해 관계사에서 628억 원가량을 빼돌리고 주가를 조작해 부당이득을 챙긴 혐의를 받는다. 구속 상태로 재판을 받다가 지난달 보석 석방됐다.박민영은 빗썸 사태 당시 강씨와의 교제 사실이 알려졌으나 열애설 보도 이틀 만에 결별을 알렸다. 그러나 이 과정에서 박민영의 친언니가 인바이오젠 사외이사로 등기돼 있다는 사실이 드러났고, 박민영은 지난해 2월 사건 참고인으로 검찰 조사를 받아야 했다. 당시 박민영은 사건과 아무 관련이 없다는 취지의 진술을 한 것으로 전해졌다."
2023-01-26,"검찰, 빗썸 실소유주 강종현 구속영장...관계사 횡령·배임 혐의","/뉴스1서울남부지방검찰청가상화폐 거래소 ‘빗썸’ 관계사 경영진들의 횡령 혐의를 수사 중이던 검찰이 빗썸의 실소유주로 알려진 사업가 강종현씨에 대해 구속영장을 청구했다.서울남부지검 금융조사2부(채희만 부장검사)는 특정경제범죄가중처벌법상 배임·횡령, 자본시장법상 사기적 부정거래 혐의로 강씨와 빗썸 관계사 임원 2명 등 3명의 구속영장을 청구했다고 25일 밝혔다. 강씨는 배우 박민영과의 열애설이 불거졌던 인물로, 당시 그가 버킷스튜디오와 인바이오젠 등 빗썸 관계사의 회장이라고 적힌 명함을 들고 다닌다는 점에서 빗썸의 ‘실소유주’라는 의혹이 제기됐다.검찰은 이달 강씨를 두 차례 소환해 조사했고, 동생 강지연 씨도 한차례 불러 조사했다.검찰은 지난해 10월 강 씨와 여동생 강지연씨가 공모해 회삿돈을 빼돌리거나 주가를 조작한 정황을 포착해 빗썸의 관계사인 비덴트와 인바이오젠·버킷스튜디오 등을 압수수색하며 수사에 들어갔다.이들은 여러 개의 회사를 소유해 지분을 연쇄적으로 보유하는 과정에서 전환사채(CB)를 통해 불법적으로 자금흐름이 이뤄지도록 한 의혹을 받는다.빗썸홀딩스 최대 주주는 지분 34.22%를 보유하고 있는 코스닥 상당자 비텐트로, 이 비텐트의 최대 주주는 키오스크 유통업체인 인바이오젠, 인바이오젠의 최대 주주는 콘텐츠 유통업체 버킷스튜디오다. 이 가운데 인바이오젠과 버킷스튜디오는 강지연씨가 대표이사로 있다."
2023-02-25,"루나·빗썸·위믹스… 쏟아지는 ‘코인사태’에도 검찰 수사 난항, 왜","수사·금융 당국이 가상화폐나 국내 거래소에 대한 동시다발적인 조사에 착수했지만 혐의 적용, 위법성 판단 등 조사 진척이 더딘 것으로 25일 전해졌다. 정부의 규제 방침이나 가이드라인이 분명치 않으며, 사실상 가상화폐에 대한 수사는 미지의 영역이라는 것이다. 법조계에선 “문재인 정부에서 방치된 당국의 가상화폐 관련 수사 의지가 현 정부에 어떻게 바뀔 지 주목된다”는 평가가 나온다.지난 달 29일 서울 서초구 빗썸 고객지원센터 모니터에 비트코인과 알트코인의 시세가 보이고 있다. /뉴시스가상화폐 거래소를 통해서 거래되는 가상화폐는 세계적으로 1만 종이 훌쩍 넘는다. 끊임없이 새로운 가상화폐가 만들어지고 있으며ICO(InitialCoinOffering·가상화폐 공개)를 통해 시장으로 유통된다. 그나마 2021년 3월 ‘특정 금융거래정보의 보고 및 이용 등에 관한 법률(특금법)’이 시행되면서 그해 10월부터 실명 계좌를 발급해준 은행이 가상화폐 거래소의 상장 기준과 심사 과정 등을 확인하도록 했다. 하지만 금융 당국의 규제를 받기 시작한 2021년 10월 이전에 상장한 코인들의 투자 리스크가 여전히 크다는 평가가 나온다.권도형 테라폼랩스 최고경영자(CEO)./뉴스1가상화폐 투자자들에게 50조원 넘는 피해를 준 ‘루나 사태’가 대표적이다. 루나 사태는 작년 5월 권도형 대표의 테라폼랩스가 발행한 가상화폐 테라와 루나의 가격이 99% 이상 폭락한 사건이다. 당시 루나와 테라가 상호 보완적으로 가격을 유지하도록 설계돼 있던 체계가 갑자기 깨지면서 피해액이 걷잡을 수 없이 불어났다.권도형씨는 테라와 루나의 가격이 동반 폭락할 수 있다는 점을 알면서도 투자자들에게 이를 제대로 알리지 않았다는 혐의를 받고 있지만 여전히 해외에서 머무르고 있다. 사실상 검찰 수사가 ‘개점 휴업’ 상태라는 것이다.권씨는 루나 사태가 터지기 직전인 작년 4월 싱가포르로 출국했고, 그 뒤 아랍에미리트 두바이 등을 경유해 현재 동유럽 국가인 세르비아에 들어간 것으로 수사당국은 파악하고 있다. 검찰은 권씨가 수사를 피하기 위해 해외 도피 중인 것으로 보고 있다. 그러나 권씨는 트위터, 언론 인터뷰 등을 통해 “나는 도주하고 있지 않다”고 주장하고 있다.서울 서초구 빗썸고객센터./뉴스1국내 가상화폐 거래소들이 신규 코인 상장 절차를 투명하게 공개하지 않고 깜깜이로 운영하는 경우가 많다는 지적도 나온다. 그 피해가 투자자들에게 돌아간다는 것이다.수사당국은 국내 가상화폐 거래소 ‘빗썸’ 관련 자금 최소 1200억원대 안팎이 해외로 유출된 것으로 의심하고 있다. 빗썸을 운영하는 회사인 빗썸코리아는 2019년 전후 싱가포르에 설립된 빗썸글로벌홀딩스의 최대주주인BK컨소시엄(BTHMB)에 신규 가상화폐 상장 대행 권한을 부여한 것으로 전해졌다. 이 과정에서BTHMB대표를 지낸 중국 국적의 A씨가 가상화폐 개발 업체 40여 곳으로부터 상장 비용, 마케팅 비용 등 수수료 명목으로 한 곳당 30억원을 받았다는 것이다. 이 의혹과 관련해 이재원 현 빗썸코리아 대표 등도 수사 선상에 오른 것으로 전해졌다.이와 관련 서울남부지검 금융조사1부(부장 이승형 부장)는 지난 1월 말 서울 강남구에 있는 빗썸을 압수 수색해 빗썸에서 거래된 가상화폐의 거래 내역 등을 확보했다고 한다. 비슷한 시기인 지난 1월 중순 서울지방국세청 조사4국은 빗썸을 운영하는 빗썸코리아, 빗썸홀딩스 등에 대한 특별 세무조사에 착수한 것으로 알려졌다.수사당국은 빗썸 관련자들에게 ‘특경가법상 재산 국외 도피’ 혐의 적용을 검토 중이다. 국내로 들여와야 할 자산을 법령을 위반해 국외로 은닉 또는 처분했다는 것이다. 하지만 법조계에선 “중국 국적의 A씨가 받은 가상화폐 관련 수수료는 재산 국외 도피 혐의의 구성 요건인 ‘국내 반입 의무가 있는 재산’이 아니므로 죄가 되지 않는다”는 주장도 있어 수사당국은 혐의 적용에 어려움을 겪고 있는 것으로 알려졌다.빗썸 실소유 의혹을 받고 있는 강종현씨가 영장실질심사를 받기 위해 1일 서울남부지법에 들어서고 있다./뉴스1또 서울남부지검 금융조사2부(부장 채희만)는 빗썸 관계사 경영진의 횡령 혐의를 포착해 수사 중이기도 하다. 검찰은 작년 10월 빗썸 관계자인 인바이오젠, 비덴트, 버킷스튜디오 등을 압수 수색해 회계 관련 자료 등을 확보했다. 비덴트는 빗썸홀딩스의 지분 34.22%를 보유한 단일 최대 주주이며, 인바이오젠과 버킷스튜디오의 대표를 지낸 강지연씨는 빗썸홀딩스의 사내이사를 맡은 바 있다. 강지연씨는 지난 2020년 230억원으로 비덴트, 인바이오젠, 버킷스튜디오 등 3개사를 사들였는데, 이 인수 대금이 강씨의 오빠인 강종현씨가 횡령한 금액 중 일부 아니냐는 의혹이 제기돼 있다. 강종현씨는 최근 배우 박민영씨와 열애설이 불거졌던 인물이다.2일 오후 서울 강남구 가상자산 거래소 업비트 건물 앞에서 위믹스 투자자들이 위믹스 상장 폐지 이유 공개와 투자자 피해보상 촉구 집회를 하고 있다./뉴스1국내 게임사 위메이드가 발행한 가상화폐 ‘위믹스’는 작년 12월 법원에서 상장폐지가 확정되기도 했다. 국내 4개 주요 가상화폐 거래소는 작년 11월 “유통 물량을 제대로 공시하지 않고, 정보를 투명하게 공개하지 않았다”며 위믹스 상장폐지를 결정했는데, 위메이드가 이에 반발해 법원에 효력정지 가처분 신청을 제기했으나 기각당한 것이다.이에 따라 4개 거래소의 국내시장 점유율 98%가 넘었던 위믹스는 작년 12월 8일부터 4개 거래소에서 사고팔 수 없게 됐고, 위믹스 가격은 폭락했다. 상장폐지에 따른 개인 투자자들의 손실이 수천억원에 달하게 된 것이다.가상화폐 업계에선 “정부의 전향적인 대책 없이는 비대칭한 정보를 가지고서 가상화폐 시장에 뛰어드는 투자자들을 대상으로 제2, 제3의 피해가 계속 발생할 것”이라는 얘기가 나온다. 한 업계 관계자는 “국내 첫 대형 가상화폐 범죄였던 루나 사태의 권도형씨가 해외로 도피해 여전히 사법 처리되지 않고 있는 상황인데다 검찰이나 국세청 등이 가상화폐 관련 범죄에 대한 엄단 의지가 느껴지지 않는다”며 “이대로라면 개인 투자자들은 계속 피해를 입고 국내 자산은 해외로 반출될 것”이라고 했다."
2023-02-22,"“강종현 공범 잡아라”...檢, 빗썸 관계사 ‘비덴트’ 압수수색","서울남부지방검찰청 모습. /뉴스1빗썸 관계사 횡령 의혹을 수사 중인 검찰이 빗썸 관계사 중 하나인 ‘비덴트’를 압수수색했다.서울남부지검 금융조사2부(부장검사 채희만)는 오전부터 비덴트에 압수수색을 진행하고 있다고 22일 전했다. 검찰 관계자는 “구속 기소된 빗썸 실소유주 강종현씨의 공범을 수사하기 위한 것”이라고 밝혔다.디스플레이 제조 기업 비덴트는 빗썸코리아의 지분 34.22%를 보유한 최대주주다. 비덴트의 최대 주주는 인바이오젠이고 인바이오젠 최대 주주는 콘텐츠 유통업체인 버킷스튜디오다. 빗썸의 ‘실소유주’로 알려진 강종현씨와 인바이오젠과 버킷스튜디오 대표인 동생 강지연씨는 이들 관계사의 지분을 연쇄적으로 보유하는 과정에서 전환사채(CB)를 통해 불법적으로 자금흐름이 이뤄지도록 했다는 의혹을 받는다.앞서 강종현 씨는 특정경제범죄가중처벌법상 배임·횡령, 자본시장법상 사기적 부정거래 혐의로 지난 20일 구속 기소됐다. 강 씨의 첫 재판은 다음 달 22일 이뤄질 예정이다."
2022-10-27,"검찰, ‘빗썸 실소유주 의혹’ 사업가 강씨 출국금지","압수수색 직전 자료 빼돌린 임원에 대해서는 구속영장 청구서울 강남구 빗썸 고객상담센터 모습./뉴스1가상화폐 거래소 ‘빗썸’ 관계사 경영진들의 횡령 혐의를 수사 중인 검찰이 빗썸의 실소유주라는 의혹이 불거진 사업가 강모(40)씨를 출국금지했다. 또한 검찰은 한 관계사 임원에 대해서는 강제수사를 벌이기 직전 회사 자료를 빼돌렸다며 구속영장을 청구했다.서울남부지검 금융조사2부(부장 채희만)는 최근 강씨를 출국금지하는 한편, 버킷스튜디오 임원 A씨에 대해 증거인멸 혐의로 26일 구속영장을 청구했다고 27일 밝혔다. 강씨는 최근 배우 박민영씨와 열애설이 불거졌던 인물로, 당시 그가 버킷스튜디오와 인바이오젠 등 빗썸 관계사의 회장이라고 적힌 명함을 들고 다닌다는 점에서 빗썸의 ‘실소유주’라는 의혹이 제기됐다.실제 강씨와 그의 여동생인 강지연(38)씨가 빗썸 관계사들을 관리하고 있다는 정황이 포착된 바 있다. 빗썸 운영사인 빗썸코리아의 최대 주주는 비덴트이고, 비덴트의 최대 주주가 인바이오젠인데, 인바이오젠의 최대 주주가 버킷스튜디오다. 그리고 버킷스튜디오의 지분을 20%쯤 소유한 ‘이니셜1호투자’의 최대 주주는 ‘이니셜’이란 주식회사다. 이니셜의 지분 100%를 소유한 이가 바로 강지연씨로, 그는 이니셜 뿐만 아니라 버킷스튜디오와 인바이오젠 대표도 겸임하고 있다.이와 관련해 검찰은 강씨 남매를 포함한 빗썸 관계사 경영진들이 회삿돈을 빼돌리고 주가를 조작한 정황을 포착하고, 7일 관계사들에 대해 압수수색을 진행하는 등 수사를 벌이고 있다.A씨 등 회사 임원진 3명은 검찰의 압수수색 등 강제수사가 진행되기 직전 회사 주요 자료를 ‘비밀 사무실’로 빼돌리고 폐쇄(CC)TV를 삭제한 혐의를 받는다. 검찰은 A씨에 대해 구속영장을 청구하며, 증거인멸에 나선 배경에 강씨 남매의 지시가 있었는지 등도 조사하고 있는 것으로 전해졌다.한편 A씨에 대한 구속영장 실질심사는 28일 오전 10시 30분 서울남부지법에서 열릴 예정이다."
2022-10-11,빗썸·쌍방울 불공정거래 의혹...이복현 “적극 대처하겠다”,"이복현 금융감독원장이 11일 서울 여의도 국회에서 열린 정무위원회의 금융감독원 국정감사에서 의원들의 질의에 답변하고 있다. /2022.10.11 국회사진기자단이복현 금융감독원장은 11일 가상자산 거래소 빗썸을 인수한 비덴트나 쌍방울 등 코스닥 상장사들의 전환사채(CB)와 신주인수권부사채(BW)를 활용한 불공정거래 의혹에 대해 “적극 대처하겠다”고 밝혔다.이 원장은 이날 국회에서 열린 정무위원회 국정감사에서 “상장사라는 프리미엄을 이용한 이상한 플레이를 통해 특정인들이 수익을 가져가는 게 분명하지 않나. 금감원이 이에 신경 써야 한다”는 윤창현 국민의힘 의원의 지적에 이같이 답했다.이 원장은 “최근 몇 년간 사모펀드나 투자조합 형태로 규제를 회피하면서 실질적으로는 일반 투자자들에게 영향을 끼치거나 미공개정보를 이용한 시장 불공정 거래가 있었다”며 “이에 금융감독원이 적극적으로 대처를 했어야 했는데 다소 미진했다는 아쉬움이 있었다”고 했다.이어 “금융감독원이 잘해야 하는 부분도 있지만 검찰이나 금융위원회와 협의해야 하는 부분도 있는데 각 기관과의 협의 결연성이 떨어졌다”며 “각자 역할에 대해 주인의식이 부족했던 부분이 있었다”고 설명했다.그러면서 “지적한 대로CB,BW와 관련한 시장교란 행위에 대해 저희도 유념해 보고 있다”며 “다만 개별 종목과 관련해서는 검찰이나 수사기관에서 많이 진행 중이라 필요한 부분은 수사기관에 협조를 하되 이것과 관련해 구체적으로 말씀드리기는 조심스러운 측면이 있다”고 덧붙였다.앞서 윤창현 의원은 빗썸과 관계사인 인바이오젠, 비덴트, 버킷스튜디오 간 불공정 거래 의혹을 제기했다. 검찰은 지난 7일 빗썸 관계사 경영진의 횡령 혐의를 포착해 인바이오젠과 비덴트 등 관련 회사들을 압수수색했다.코스닥 상장사인 비덴트는 빗썸홀딩스의 지분 34%를 보유한 단일 최대 주주다. 비덴트의 최대 주주는 인바이오젠, 인바이오젠의 최대 주주는 버킷스튜디오로 연결되는 구조다. 인바이오젠과 버킷스튜디오 모두 최근 배우 박민영씨와 열애설이 났던 강종현씨의 동생 강지연씨가 대표이사로 있다.윤 의원은 “문제가 된 빗썸 회장의 명함을 들고 다니시는 이분의 실태가 밝혀졌는데 관련 회사인 비덴트와 인바이오젠, 버킷스튜디오 등의CB와BW발행을 보면 5000억원 이상 발행했다. 시가총액보다도 많다”고 지적했다.이어 “인수한 주체를 보면 전부 조합들이다. 물론 선량 투자자도 있겠지만 특정 그룹에게 특혜를 주는 몰아주는 것 아니냐는 의심을 사기 충분하다”며 “이런 거래 형태가 쌍방울과 상당히 유사하다. 특정인들의 머니게임의 놀이터가 된 것 같은 흔적이 여러 곳에서 보인다”고 덧붙였다."
2022-10-08,빗썸 관계사 압수수색… 검찰 “경영진 횡령 정황 포착”,"검찰이 가상화폐 거래소 ‘빗썸’ 관계사 경영진의 횡령 혐의를 포착해 7일 인바이오젠과 비덴트 등 관련 회사들을 압수 수색했다. 이 경영진 가운데는 최근 배우 박민영씨와 열애설이 불거진 강모(40)씨가 포함된 것으로 알려졌다.서울남부지검 금융조사2부(부장 채희만)는 이날 인바이오젠 및 비덴트, 버킷스튜디오 등을 압수 수색해 회계 관련 자료 등을 확보했다고 밝혔다. 비덴트와 버킷스튜디오는 코스닥에, 인바이오젠은 코스피에 각각 상장돼 있다.비덴트는 ‘빗썸홀딩스’의 지분 34.22%를 보유한 단일 최대 주주인데, 빗썸홀딩스는 가상화폐 거래소인 빗썸을 운영하는 회사 빗썸코리아의 지분 73.6%를 보유하고 있다. 다만 빗썸은 이번 압수 수색 대상에서 제외된 것으로 알려졌다. 검찰 관계자는 “강씨를 비롯해 빗썸 관계사 일부 경영진의 횡령 정황이 포착돼 강제 수사를 시작한 것”이라고 했다.이번 압수 수색 대상이 된 인바이오젠과 버킷스튜디오는 강씨의 여동생 강지연(38)씨가 대표이사로 있는 곳이다. 그는 빗썸홀딩스의 사내이사도 겸하고 있다. 그는 지난 2020년 230억원으로 비덴트, 인바이오젠, 버킷스튜디오 등 3개사를 사들인 것으로 알려졌다.각 회사는 지분 보유로 서로 얽혀 있다. 비덴트의 최대 주주는 인바이오젠, 인바이오젠의 최대 주주는 버킷스튜디오다. 또 버킷스튜디오 지분 20%쯤을 가진 ‘이니셜1호투자’의 최대 주주인 주식회사 ‘이니셜’은 강지연씨가 지분 100%를 보유하고 있다.그런데 앞서 연예 매체 ‘디스패치’는 박민영씨와 열애설이 불거진 강씨가 인바이오젠과 버킷스튜디오의 실소유자라는 의혹을 제기했다. 그가 강지연 대표의 친오빠이며 ‘비덴트, 인바이오젠, 버킷스튜디오, 빗썸라이브 회장’이라고 적힌 명함을 들고 다닌다는 점 등이 근거로 제시됐다. 하지만 빗썸은 지난달 30일 입장문을 내어 “강씨는 당사에 임직원 등으로 재직하거나 경영에 관여한 사실이 없다”고 관련성을 부인했다."
2022-10-02,"배우 박민영 언니, 사외이사에서 내려왔다… 열애설 하루 만","배우 박민영/뉴스1배우 박민영의 친언니 박모(39)씨가 유가증권시장 상장사 인바이오젠의 사외이사 자리에서 물러났다. 박민영이 인바이오젠 실소유주로 추정되는 강모씨와 교제중이라는 보도가 나온 지 하루 만이다.2일 금융감독원 전자공시시스템에 따르면, 박씨는 지난달 29일 일신상의 사유로 인바이오젠 사외이사에서 자진 사임했다. 박씨의 사임은 지난달 28일 박민영이 인바이오젠 등의 실소유주로 알려진 강씨와 열애 중이라는 보도가 나온 지 하루 만에 이뤄졌다. 이 회사에는 강씨의 동생으로 알려진 강지연씨가 대표이사로 있다.박씨는 현재 감염병학을 연구하는 싱가포르국립대 서스위호크 공중보건대학원 소속 연구원이다. 인바이오젠은 지난 3월 29일 주주총회에서 박씨와 싱가포르 국립대 이 모(某) 교수를 사외이사로 선임했다. 인바이오젠은 반기보고서에서 박씨 선임 배경에 대해 “경영에 대한 풍부한 경험과 역량을 바탕으로 회사의 의사결정에 중요한 역할을 할 것으로 판단해 선임”이라고 적었다. 이 교수는 지난 6월 27일 자진 사임했다.박씨는 임명 이후 지난 6월 말까지 열린 7차례 이사회 가운데 1회 참석했다. 박씨를 포함한 사외이사 2인은 올 상반기까지 2900만원을 받았다. 인당 평균 보수는 1450만원이다.한편 인바이오젠은 “신발 제조 및 판매와 키오스크 유통 사업을 주사업으로 영위하고 있으며, 신규사업으로 F&B사업에 진출했다”고 설명한다. 2020년에는 신약개발, 백신 제품 개발 및 생산 등의 새로운 사업목적을 정관에 추가했다. 올해 상반기 매출액 63억원, 영업손실은 25억원을 기록했다."
